"dataset","model","sampling","balanced_acc","balanced_acc_sd","roc","roc_sd","sens_cv","spec_cv","ppv_cv","npv_cv","optimal_threshold","sens_at_optimal","spec_at_optimal","brier_score","alpha","lambda","n.trees","interaction.depth","shrinkage","n.minobsinnode","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","sigma","C","mtry"
"data_30","xgbTree","rose",0.773775165749032,0.102053152666345,0.968477158143952,0.0259318616637481,0.981547619047619,0.566002712450446,0.084588793628451,0.999175312037573,0.985178798437119,0.925925925925926,0.904109589041096,0.321161782682029,NA,NA,NA,NA,NA,NA,200,6,0.1,0,0.8,5,0.8,NA,NA,NA
"data_30","svmRadial","none",0.754506627832211,0.105773416177787,0.935424131760368,0.0620150539450626,0.51547619047619,0.993537065188232,0.748095238095237,0.983366870114444,0.0383808275375025,0.951615445232467,0.863013698630137,0.0172928521177949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,NA
"data_30","svmRadial","up",0.89663360202348,0.0712000870033285,0.967769358145655,0.0320886115225952,0.839285714285714,0.953981489761245,0.393196447739455,0.994287464094705,0.211695112545523,0.925925925925926,0.926940639269406,0.0378590190032706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_30","svmRadial","down",0.915847395919827,0.0490090539229146,0.961660396520228,0.0366065150632105,0.935714285714286,0.895980506125369,0.247689539072764,0.997569466084136,0.496810795664913,0.895823483057526,0.940639269406393,0.0777645348528766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,10,NA
"data_30","svmRadial","smote",0.880966086917643,0.0863645111877425,0.967256502216374,0.0331440690081885,0.804166666666667,0.957765507168619,0.404244971574693,0.993020303677857,0.127620792876407,0.922301024428684,0.936073059360731,0.0343198991289768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_30","svmRadial","rose",0.919344838892366,0.049095530481669,0.973662577232449,0.027764090710219,0.9,0.938689677784733,0.34377201338966,0.996333451866366,0.438331710503715,0.932702915681639,0.922374429223744,0.0477116927745071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.5,NA
"data_30","rf","none",0.753001313643583,0.0908230432046085,0.969554713148784,0.0283740914582734,0.513095238095238,0.992907389191928,0.754550264550264,0.983326325011182,0.051,0.917415287628054,0.926940639269406,0.0185568647166362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"data_30","rf","up",0.7078224068846,0.0976079778180184,0.953825368171502,0.0369140491503631,0.428571428571429,0.98707338519777,0.570270562770562,0.980470991544444,0.049,0.898345153664303,0.899543378995434,0.023233491773309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"data_30","rf","down",0.910527458770327,0.0458369370500808,0.962495202912158,0.0265785017824176,0.939285714285714,0.881769203254941,0.222336130241472,0.997691155018127,0.541,0.893144208037825,0.931506849315068,0.0825710645947593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"data_30","rf","smote",0.784413869052942,0.10242955223279,0.963070886720064,0.0304042042662954,0.588690476190476,0.980137261915407,0.525301272801273,0.985774395634792,0.125,0.885579196217494,0.926940639269406,0.0256990347349177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
