bbrefID,mlbamID,name,team,pos,headshot_url,is_active
iglesra01,628452,Raisel Iglesias,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/628452/headshot/67/current",True
lopezre01,625643,Reynaldo López,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/625643/headshot/67/current",True
suarero01,663158,Robert Suarez,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663158/headshot/67/current",True
munozro02,691548,Rolddy Muñoz,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691548/headshot/67/current",True
acunaro01,660670,Ronald Acuña Jr.,Atlanta Braves,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/660670/headshot/67/current",True
murphse01,669221,Sean Murphy,Atlanta Braves,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669221/headshot/67/current",True
schwesp01,680885,Spencer Schwellenbach,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680885/headshot/67/current",True
stridsp01,675911,Spencer Strider,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/675911/headshot/67/current",True
brujavi01,660644,Vidal Bruján,Atlanta Braves,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/660644/headshot/67/current",True
rutscad01,668939,Adley Rutschman,Baltimore Orioles,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/668939/headshot/67/current",True
kittran01,552640,Andrew Kittredge,Baltimore Orioles,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/552640/headshot/67/current",True
,689296,Anthony Nunez,Baltimore Orioles,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/689296/headshot/67/current",True
youngbr01,687064,Brandon Young,Baltimore Orioles,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/687064/headshot/67/current",True
povicca01,700249,Cade Povich,Baltimore Orioles,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/700249/headshot/67/current",True
,671382,Cameron Foster,Baltimore Orioles,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671382/headshot/67/current",True
mcderch01,694646,Chayce McDermott,Baltimore Orioles,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694646/headshot/67/current",True
mayoco01,691723,Coby Mayo,Baltimore Orioles,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691723/headshot/67/current",True
selbyco01,681882,Colin Selby,Baltimore Orioles,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/681882/headshot/67/current",True
cowseco01,681297,Colton Cowser,Baltimore Orioles,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/681297/headshot/67/current",True
